source,description,category,fname,BE_Classification,arousal,valence,dominance,dynamics_rms_mean,dynamics_rms_std,rhythm_attacktime_mean,rhythm_tempo_mean,rhythm_tempo_std,rhythm_pulseclarity_mean,rhythm_eventdensity_mean,rhythm_fluctuationmax_peakposmean,spectral_centroid_mean,spectral_centroid_std,spectral_brightness_mean,spectral_brightness_std,spectral_spread_mean,spectral_spread_std,spectral_skewness_mean,spectral_skewness_std,spectral_kurtosis_mean,spectral_kurtosis_std,spectral_rolloff95_mean,spectral_rolloff95_std,spectral_rolloff85_mean,spectral_rolloff85_std,spectral_spectentropy_mean,spectral_spectentropy_std,spectral_flatness_mean,spectral_flatness_std,spectral_novelty_mean,spectral_novelty_std,spectral_roughness_mean,spectral_irregularity_mean,spectral_inharmonicity_mean,spectral_mfcc_mean_1,spectral_mfcc_mean_2,spectral_mfcc_mean_3,spectral_mfcc_mean_4,spectral_mfcc_mean_5,spectral_mfcc_mean_6,spectral_mfcc_mean_7,spectral_mfcc_mean_8,spectral_mfcc_mean_9,spectral_mfcc_mean_10,spectral_mfcc_mean_11,spectral_mfcc_mean_12,spectral_mfcc_mean_13,spectral_mfcc_std_1,spectral_mfcc_std_2,spectral_mfcc_std_3,spectral_mfcc_std_4,spectral_mfcc_std_5,spectral_mfcc_std_6,spectral_mfcc_std_7,spectral_mfcc_std_8,spectral_mfcc_std_9,spectral_mfcc_std_10,spectral_mfcc_std_11,spectral_mfcc_std_12,spectral_mfcc_std_13,timbre_lowenergy_mean,timbre_lowenergy_std,timbre_spectralflux_mean,timbre_spectralflux_std,pitch_pitch_mean,tonal_keyclarity_mean,tonal_keyclarity_std,tonal_mode_mean,tonal_mode_std,tonal_hcdf_mean,tonal_hcdf_std
Expanded,Crux BGM1,Sound Effect,11,U,5.772727273,5.409090909,5.68 ,0.083941,0.027985,0.020813,150.359321,30.208022,0.610271,6.166667,2.26014,1564.244998,289.300731,0.359647,0.052034,1861.003505,505.413498,4.372763,0.626063,35.91318,8.994527,4583.689159,1589.676237,2719.895827,446.322406,0.72619,0.025515,0.052728,0.03454,0.113559,0.168155,389.162751,0.562549,0.443307,3.173258,-1.128024,0.693144,-0.133643,0.418294,-0.225162,0.220516,-0.04031,0.129437,-0.038086,0.099228,-0.06471,0.109785,0.365257,0.176468,0.229375,0.194216,0.201614,0.19498,0.207883,0.262088,0.182187,0.224608,0.155343,0.200882,0.176738,6.244288,2.03361,52.675521,20.766841,499.251229,0.614122,0.075126,-0.133796,0.059782,0.148596,0.062665
Expanded,Electronic Sound4,Electric sound,12,FH,5.708333333,3.75,4.71 ,0.148551,0.08487,0.026138,130.795862,0.319845,0.438681,3,4.070991,2397.618013,1014.025509,0.338285,0.121271,3582.189013,859.055192,2.841398,0.932593,13.010426,7.476103,10125.33472,3468.183909,4988.257064,2540.006629,0.681966,0.068143,0.144151,0.077479,0.051926,0.134414,155.232923,0.768647,0.296904,2.293333,-0.290669,0.033485,0.028764,0.230861,0.145312,0.340078,0.186903,0.081417,-0.094377,0.20235,0.185456,0.171598,0.9172,0.568826,0.838499,0.72985,0.415874,0.42593,0.409168,0.354594,0.422191,0.2761,0.235374,0.317215,0.401362,6.356034,2.145796,110.358374,92.608291,878.963083,0.364991,0.145626,-0.001933,0.07162,0.206315,0.221194
Expanded,Electronic Sound5,Electric sound,13,F,5.68,3.64,3.92 ,0.153785,0.080475,0.026834,140.877523,0.797063,0.32526,4,3.635324,2454.678066,972.627888,0.418992,0.192823,3276.756349,673.750421,2.680436,0.883849,12.358543,7.362633,9636.402033,2911.903057,4895.133279,2137.330484,0.698537,0.068235,0.14208,0.063778,0.041158,0.114334,190.876855,0.819417,0.29693,1.796272,-0.514111,0.121927,0.28123,0.250467,0.022885,0.199041,0.169525,0.187123,0.035262,0.229539,0.281782,0.198917,1.163757,0.741269,0.814269,0.722367,0.483561,0.458596,0.460838,0.360251,0.36006,0.297881,0.293599,0.346482,0.397799,6.13741,2.074801,125.824317,92.554995,923.271002,0.348023,0.136842,0.002655,0.068998,0.232702,0.241749
Expanded,HorrorFilm19,Sound Effect,14,F,5.833333333,4.333333333,3.50 ,0.129028,0.061025,0.015258,110.514474,28.996484,0.113057,2.666667,1.355016,936.486924,256.900394,0.150177,0.068435,1547.923018,255.137016,7.005984,1.496382,74.230829,27.067852,2814.317571,786.868326,1512.504801,504.168085,0.661259,0.037755,0.033342,0.011537,0.053273,0.101588,867.84046,0.336711,0.469062,4.925394,-0.624189,0.670905,-0.233419,0.328517,-0.044777,0.141253,-0.06558,0.044788,-0.071592,0.010061,-0.036209,-0.010785,0.759725,0.314296,0.249121,0.383726,0.210725,0.152088,0.182076,0.1766,0.147273,0.156108,0.1486,0.15456,0.178932,5.303356,2.486902,84.118842,41.603084,419.079745,0.483907,0.135405,-0.020547,0.114132,0.182012,0.10222
Expanded,BGM3,Music,15,HS,5.125,6.25,5.42 ,0.084601,0.033701,0.049384,134.488675,33.538177,0.187365,5.166667,2.969093,2504.44508,383.905554,0.454195,0.049065,3093.371484,425.16018,2.628273,0.330378,11.682381,2.537091,8846.787673,1704.369207,4729.850886,950.712498,0.729834,0.023875,0.147468,0.043227,0.059297,0.120226,106.994856,0.50423,0.400802,1.902347,-0.10361,0.619181,-0.049323,-0.068446,-0.416952,-0.176998,-0.366175,-0.101561,0.106725,0.087569,-0.483365,-0.374129,0.323891,0.258345,0.331178,0.290405,0.342287,0.403136,0.378294,0.448541,0.609249,0.550247,0.412938,0.25344,0.350356,5.034453,1.501313,57.378661,23.981414,409.412355,0.565186,0.078855,0.041123,0.059475,0.142723,0.084655
Expanded,BGM4,Music,0015_b,H,5.181818182,6.045454545,5.59 ,0.091285,0.039486,0.033452,126.988469,15.811239,0.169481,5,2.795646,2212.194602,172.413116,0.42502,0.048343,2830.532325,183.836616,2.950348,0.243554,14.010839,1.784945,7952.374089,724.290267,4009.23015,439.005494,0.713115,0.017647,0.118027,0.01848,0.059995,0.115261,138.582919,0.516634,0.421384,2.2784,-0.21418,0.824472,0.03526,-0.06969,-0.658014,-0.475788,-0.470543,0.040513,0.1679,-0.0711,-0.843586,-0.701475,0.237501,0.2081,0.25519,0.237436,0.219759,0.228779,0.223937,0.282168,0.407024,0.178977,0.343833,0.330236,0.198077,4.933229,1.893872,61.452176,27.408662,435.799929,0.616862,0.078855,0.057925,0.099279,0.180121,0.093545
Expanded,Crux BGM2,Sound Effect,16,F,6,4.208333333,3.75 ,0.112383,0.039674,0.015196,97.377266,15.900593,0.14124,3.666667,1.812998,1065.444234,233.878948,0.192602,0.093407,1412.077948,239.077875,7.039759,2.142331,82.257404,38.709331,2806.192555,897.465782,1779.022576,558.1303,0.673446,0.040816,0.027594,0.009632,0.06045,0.127654,698.651244,0.558872,0.445609,5.108165,-1.158476,0.648559,-0.198944,0.292546,-0.148924,0.054431,-0.043364,0.02889,-0.075338,0.033344,0.021316,0.100413,1.178782,0.418416,0.42614,0.328464,0.286689,0.303783,0.202691,0.190759,0.20374,0.25808,0.165745,0.29766,0.233039,5.262705,2.429872,96.607333,36.311501,420.069406,0.356672,0.131234,-0.017922,0.080305,0.20388,0.082061
Expanded,BGM5,Music,17,H,5.25,5.75,5.17 ,0.075456,0.027546,0.022588,119.483443,20.019784,0.250447,3.833333,3.42593,1958.245305,317.188628,0.420148,0.09806,2050.064854,280.748453,3.278475,0.867095,23.10054,9.071504,5242.839427,847.861434,3760.336955,686.876986,0.723409,0.034146,0.062093,0.019242,0.027192,0.075922,107.881859,1.014535,0.360376,2.235016,-0.397132,0.439016,-0.553149,0.456719,-0.299768,-0.021253,-0.205922,0.1161,-0.076104,-0.051433,-0.094958,-0.150392,0.561747,0.528517,0.454976,0.350009,0.326815,0.405381,0.343254,0.394132,0.411304,0.444545,0.511404,0.340393,0.262504,5.415084,1.579368,57.263569,30.32003,437.958955,0.455448,0.087794,-0.024457,0.066092,0.172798,0.163775
Expanded,DetectivefilmBGM1,Sound Effect,21,H,6.454545455,4.181818182,4.86 ,0.086985,0.031949,0.022252,148.207034,36.821084,0.183537,4.333333,3.243231,3103.893463,712.136465,0.530035,0.1237,3343.289279,356.237569,2.012649,0.432961,8.354847,2.370389,9629.170923,1383.687352,6124.979978,1103.853007,0.800298,0.037314,0.195842,0.052698,0.052067,0.110255,184.416451,0.831053,0.392613,1.817321,0.300231,0.058673,-0.254181,-0.146467,-0.207859,-0.179836,-0.078518,-0.089778,-0.076979,0.05923,-0.054171,-0.166348,0.616691,0.405598,0.39505,0.355389,0.324938,0.25481,0.236883,0.231793,0.268031,0.2518,0.273587,0.184256,0.214357,5.497698,2.168928,52.233007,24.048648,306.99877,0.556287,0.060229,-0.039353,0.075748,0.102398,0.090753
Expanded,TragedyBGM2,Sound Effect,22,H,6.227272727,6,5.73 ,0.089843,0.02578,0.026253,158.589301,27.471624,0.14497,2.666667,2.5429,4415.140559,536.214368,0.586336,0.059798,4699.429511,467.32314,1.348616,0.238197,4.447542,0.735402,14475.80937,2216.007572,8881.946573,915.055524,0.851141,0.021006,0.299884,0.051789,0.118862,0.171348,549.148439,0.444193,0.466316,1.893726,0.467645,-0.171704,0.514228,0.13962,0.10992,0.116728,-0.070943,0.055155,-0.119609,0.1241,0.0245,0.055575,0.3316,0.369066,0.351821,0.346577,0.358317,0.333659,0.306949,0.284477,0.282929,0.276849,0.229488,0.24295,0.213764,5.414909,1.298322,58.575241,16.452216,651.215482,0.517993,0.077377,0.000731,0.070552,0.147192,0.07895
Expanded,Suspense Film7,Sound Effect,23,F,6.590909091,3.772727273,3.86 ,0.104063,0.033177,0.018155,136.479029,43.752191,0.387451,5.166667,2.796077,2014.06727,200.398009,0.326792,0.040109,3097.291898,187.257552,3.092561,0.250162,14.252674,2.00281,8162.75078,702.729195,3823.675205,478.46967,0.743822,0.027461,0.150338,0.018958,0.060078,0.124675,325.592502,0.832802,0.383953,2.913792,0.001997,0.198697,-0.143634,0.118478,-0.136589,-0.038478,0.022195,-0.14971,-0.189593,-0.088067,0.024155,0.133352,0.273253,0.183242,0.202068,0.179385,0.164592,0.181822,0.198858,0.177616,0.27254,0.18465,0.189929,0.353553,0.352602,5.140491,1.851423,76.820795,28.599534,370.779788,0.464583,0.118085,-0.037298,0.068032,0.178874,0.17903
Expanded,Suspense Film8,Sound Effect,25,F,6.681818182,3.454545455,4.14 ,0.131872,0.054671,0.051304,124.431442,48.27217,0.161013,2.666667,2.154729,2174.328547,273.983958,0.368881,0.042471,3088.906428,269.786768,3.077192,0.3685,14.479937,3.006764,8278.165145,1172.309725,4033.871703,699.453604,0.747229,0.020954,0.159638,0.027498,0.088365,0.157342,505.919315,1.073849,0.41787,2.787968,-0.127644,0.380452,-0.190777,-0.033899,-0.168854,-0.033564,-0.133624,-0.100372,-0.192777,-0.223205,-0.28676,-0.21929,0.269802,0.192687,0.183921,0.161574,0.172027,0.158358,0.216896,0.239805,0.263955,0.255576,0.181761,0.151544,0.152987,4.945572,2.186518,51.885543,25.033896,349.462708,0.594862,0.072641,0.042458,0.064306,0.079645,0.045317
Expanded,BGM6,Music,28,FH,4.875,4.791666667,4.75 ,0.080824,0.038979,0.030264,182.365023,2.975874,0.267998,2.333333,3.306684,1070.950721,257.126046,0.170289,0.101105,1621.348115,398.335236,7.516713,2.035043,83.43738,41.107474,2441.38369,974.470395,1654.467773,658.785113,0.622474,0.034591,0.033079,0.014776,0.080761,0.133503,224.957047,0.874599,0.376959,5.595993,-1.128483,0.248058,0.425952,0.268671,-0.335414,0.005697,-0.086338,0.139995,-0.0425,0.109599,0.078534,-0.055732,1.16086,0.765686,0.67371,0.558056,0.47356,0.532215,0.431026,0.373804,0.42025,0.332847,0.274226,0.223483,0.237767,5.582728,2.538032,36.797619,21.366701,307.374039,0.52309,0.089172,-0.018771,0.092217,0.132103,0.102681
Expanded,BGM7,Music,0028_b,U,4.458333333,4.708333333,4.54 ,0.096691,0.057326,0.030854,120.095222,3.273229,0.258225,2,3.134669,1102.169616,352.726954,0.155928,0.079077,1633.821434,410.479618,7.350401,1.965697,80.271992,39.311758,3005.083259,2001.874319,1702.185844,728.129209,0.639001,0.041187,0.034392,0.018482,0.094943,0.134219,387.280802,0.677098,0.393815,5.471809,-1.060523,0.210584,0.00729,0.074481,0.304837,-0.227634,-0.148582,0.188349,-0.129141,-0.072904,-0.065114,0.02953,1.09789,0.660424,0.624213,0.569815,0.417883,0.632489,0.336781,0.337079,0.337017,0.297445,0.282163,0.267885,0.255894,5.618459,2.473779,44.586643,29.769504,493.926582,0.562152,0.097146,-0.027744,0.08583,0.150599,0.111685
Expanded,HorrorFilm20,Sound Effect,29,FS,4.791666667,4.25,4.88 ,0.088582,0.046386,0.013389,129.773927,36.604821,0.150002,1.666667,3.582987,816.319669,140.434045,0.098652,0.038502,1530.984479,339.733541,8.033009,1.322648,90.81122,33.843653,2204.810796,609.159182,1131.168892,265.739602,0.61268,0.022192,0.029457,0.011823,0.064813,0.114745,415.619337,0.488708,0.440516,5.567726,-0.089008,0.601353,-0.021475,0.440328,-0.278842,0.369945,-0.190978,0.136293,-0.110236,0.025863,-0.021399,-0.07473,0.488599,0.516793,0.320778,0.327948,0.305887,0.299312,0.271738,0.305417,0.292892,0.275696,0.254386,0.267104,0.193591,5.414103,2.752183,44.7855,23.583979,343.617756,0.573364,0.074545,-0.079699,0.096233,0.136874,0.076889
Expanded,Crux BGM3,Sound Effect,31,FH,6.772727273,4.818181818,3.77 ,0.102807,0.04269,0.017724,129.669706,5.536517,0.117105,3,2.61866,1452.010582,222.831598,0.270178,0.05744,2079.655692,252.655161,3.526114,0.716544,22.606972,8.181384,5706.974556,1019.819425,2875.178151,539.647824,0.699343,0.028852,0.054874,0.017133,0.04648,0.097225,284.990079,0.73314,0.430456,3.170296,0.390778,0.854846,-0.087416,-0.043383,-0.146793,-0.060368,-0.034586,-0.046846,-0.026613,0.015825,-0.318314,-0.047567,0.312354,0.296765,0.278493,0.301829,0.316608,0.297521,0.218512,0.302024,0.27528,0.255507,0.26479,0.311182,0.2487,5.367781,2.200059,75.083794,40.573276,407.766499,0.53429,0.131701,-0.042756,0.090986,0.186219,0.118197
Expanded,Suspense Film9,Sound Effect,32,H,6.916666667,4.875,4.88 ,0.091288,0.032092,0.019426,75.16595,5.333909,0.111966,2.5,2.834035,2615.05532,338.027219,0.567641,0.060284,2443.285022,357.496514,2.290197,0.471968,11.563879,4.093187,7416.206341,1498.800237,4677.074787,779.935701,0.783457,0.023971,0.091089,0.029002,0.034334,0.08437,336.5802,0.934624,0.439798,1.523364,-0.893096,0.192617,-0.237768,0.035065,-0.361018,-0.166653,-0.250213,-0.14883,-0.220308,-0.325892,-0.136903,0.034101,0.37329,0.331365,0.378463,0.291158,0.317065,0.23998,0.26815,0.217174,0.227437,0.312212,0.325229,0.263585,0.203598,5.626074,1.771785,65.880717,24.764884,461.914945,0.508527,0.111907,0.007545,0.097904,0.208717,0.123661
Expanded,Documentary16,Sound Effect,33,FH,6.04,4.96,4.32 ,0.12182,0.04538,0.028079,124.495275,6.746599,0.195772,3.833333,2.523338,2269.500393,282.432027,0.523516,0.096719,2349.013438,167.478436,2.944309,0.400386,15.106387,3.423036,7067.530625,733.933737,3627.804144,567.9406,0.732486,0.021011,0.080177,0.012965,0.104833,0.160892,483.327183,1.009465,0.399424,2.100476,-1.158826,0.156228,-0.201267,-0.099762,-0.110254,-0.088709,-0.251472,-0.043107,0.082283,0.066551,0.001816,-0.138113,0.519976,0.348723,0.397091,0.364101,0.297904,0.347373,0.413948,0.402148,0.391418,0.377848,0.297024,0.272857,0.313276,5.31344,1.636637,97.504308,38.907484,599.151051,0.497262,0.11094,-0.016032,0.084528,0.174696,0.090996
Expanded,Documentary17,Sound Effect,35,U,5.363636364,5.227272727,4.50 ,0.086028,0.045483,0.027892,123.178183,34.303947,0.186302,3.833333,2.939142,1967.41049,314.231837,0.453288,0.114679,1916.677618,391.237036,4.098915,1.280725,31.896681,17.266571,5137.94038,1544.379063,3139.849931,870.952132,0.68439,0.032717,0.055483,0.022213,0.0979,0.164252,314.641288,0.878612,0.367358,2.309028,-1.619361,-0.184587,-0.487743,0.014694,0.060761,-0.061996,-0.258076,-0.192818,-0.086024,0.052969,-0.067648,-0.196792,0.763098,0.829663,0.570293,0.46423,0.423553,0.349637,0.440397,0.409707,0.427388,0.429513,0.377141,0.34319,0.383458,5.487019,1.972539,74.551643,43.330918,793.905506,0.512323,0.115832,-0.009512,0.085709,0.201592,0.153
Expanded,Documentary18,Sound Effect,36,U,4.84,5.96,4.64 ,0.090148,0.044056,0.038272,103.992831,36.706334,0.158684,4,3.11857,1372.646075,197.776244,0.245262,0.098617,1717.309276,334.631037,6.572664,0.974566,63.718538,20.47779,3168.838025,590.09208,1917.393452,422.382559,0.571653,0.028336,0.037722,0.014224,0.08106,0.162625,76.958002,1.042179,0.329698,3.959362,-1.221512,0.331241,-0.481691,-0.01107,-0.457975,-0.417935,-0.109741,0.38793,-0.304529,-0.969765,-0.238607,0.437424,0.789721,0.422765,0.285208,0.373966,0.305478,0.33918,0.274822,0.516024,0.42051,0.725347,0.549977,0.514085,0.413141,5.355403,2.455815,44.714166,26.258651,510.168515,0.673925,0.149068,-0.061291,0.091457,0.142972,0.16044
Expanded,Suspense Film10,Sound Effect,44,U,4.863636364,5.136363636,5.45 ,0.079316,0.031676,0.045098,166.722835,22.521674,0.148366,3.666667,2.501441,3620.904313,291.593916,0.693539,0.062781,3564.925017,245.374074,2.216327,0.199016,8.65686,1.207722,11211.28512,981.763352,6388.855552,675.544329,0.776961,0.022729,0.166356,0.022347,0.107156,0.151883,310.263963,0.808996,0.437609,0.250366,-1.659698,-0.658548,-0.87268,-0.488429,-0.595958,-0.280748,-0.130457,-0.035382,0.071979,0.068149,0.129905,-0.034784,0.452692,0.436336,0.323374,0.364563,0.394548,0.414631,0.291475,0.304394,0.319468,0.303596,0.305872,0.320012,0.257098,5.586247,1.341131,50.666731,20.065947,826.806168,0.668335,0.132339,-0.084419,0.138256,0.194043,0.130925
